layer,forecast_date,breach_probability,slo_threshold
Portfolio Valuation,2024-12-19,41.99,99.0
Portfolio Valuation,2024-12-20,38.27,99.0
Portfolio Valuation,2024-12-21,38.07,99.0
Portfolio Valuation,2024-12-22,38.13,99.0
Portfolio Valuation,2024-12-23,52.24,99.0
Portfolio Valuation,2024-12-24,38.06,99.0
Portfolio Valuation,2024-12-25,38.28,99.0
Portfolio Valuation,2024-12-26,42.04,99.0
Portfolio Valuation,2024-12-27,38.31,99.0
Portfolio Valuation,2024-12-28,38.11,99.0
Portfolio Valuation,2024-12-29,38.17,99.0
Portfolio Valuation,2024-12-30,52.28,99.0
Portfolio Valuation,2024-12-31,38.1,99.0
Risk Dashboard,2024-12-02,45.05,98.5
Risk Dashboard,2024-12-03,31.43,98.5
Risk Dashboard,2024-12-04,31.27,98.5
Risk Dashboard,2024-12-05,34.9,98.5
Risk Dashboard,2024-12-06,31.33,98.5
Risk Dashboard,2024-12-07,31.55,98.5
Risk Dashboard,2024-12-08,31.34,98.5
Risk Dashboard,2024-12-09,45.1,98.5
Risk Dashboard,2024-12-10,31.48,98.5
Risk Dashboard,2024-12-11,31.32,98.5
Risk Dashboard,2024-12-12,34.95,98.5
Risk Dashboard,2024-12-13,31.38,98.5
Risk Dashboard,2024-12-14,31.59,98.5
Risk Dashboard,2024-12-15,31.39,98.5
Risk Dashboard,2024-12-16,45.15,98.5
Risk Dashboard,2024-12-17,31.53,98.5
Risk Dashboard,2024-12-18,31.37,98.5
Risk Dashboard,2024-12-19,35.0,98.5
Risk Dashboard,2024-12-20,31.43,98.5
Risk Dashboard,2024-12-21,31.64,98.5
Risk Dashboard,2024-12-22,31.44,98.5
Risk Dashboard,2024-12-23,45.2,98.5
Risk Dashboard,2024-12-24,31.57,98.5
Risk Dashboard,2024-12-25,31.42,98.5
Risk Dashboard,2024-12-26,35.05,98.5
Risk Dashboard,2024-12-27,31.48,98.5
Risk Dashboard,2024-12-28,31.69,98.5
Risk Dashboard,2024-12-29,31.49,98.5
Risk Dashboard,2024-12-30,45.24,98.5
Risk Dashboard,2024-12-31,31.62,98.5
Client Reporting,2024-12-02,38.93,98.0
Client Reporting,2024-12-03,25.63,98.0
Client Reporting,2024-12-04,25.76,98.0
Client Reporting,2024-12-05,25.75,98.0
Client Reporting,2024-12-06,25.65,98.0
Client Reporting,2024-12-07,25.65,98.0
Client Reporting,2024-12-08,25.71,98.0
Client Reporting,2024-12-09,39.03,98.0
Client Reporting,2024-12-10,25.72,98.0
Client Reporting,2024-12-11,25.86,98.0
Client Reporting,2024-12-12,25.84,98.0
Client Reporting,2024-12-13,25.74,98.0
Client Reporting,2024-12-14,25.74,98.0
Client Reporting,2024-12-15,25.8,98.0
Client Reporting,2024-12-16,39.14,98.0
Client Reporting,2024-12-17,25.81,98.0
Client Reporting,2024-12-18,25.95,98.0
Client Reporting,2024-12-19,25.94,98.0
Client Reporting,2024-12-20,25.84,98.0
Client Reporting,2024-12-21,25.83,98.0
Client Reporting,2024-12-22,25.89,98.0
Client Reporting,2024-12-23,39.24,98.0
Client Reporting,2024-12-24,25.9,98.0
Client Reporting,2024-12-25,26.04,98.0
Client Reporting,2024-12-26,26.03,98.0
Client Reporting,2024-12-27,25.93,98.0
Client Reporting,2024-12-28,25.93,98.0
Client Reporting,2024-12-29,25.99,98.0
Client Reporting,2024-12-30,39.35,98.0
Client Reporting,2024-12-31,26.0,98.0
